name,best_price,price_link
Google Pixel 4 Ficha Técnica,sem_preco,https://www.maiscelular.com.br//fichas-tecnicas/google/pixel-4/
Google Pixel 4 Ficha Técnica,sem_preco,https://www.maiscelular.com.br//fichas-tecnicas/google/pixel-4/
Google Pixel 4 XL Ficha Técnica,sem_preco,https://www.maiscelular.com.br//fichas-tecnicas/google/pixel-4-xl/
Google Pixel 4 XL Ficha Técnica,sem_preco,https://www.maiscelular.com.br//fichas-tecnicas/google/pixel-4-xl/
Motorola Moto E6 Play Ficha Técnica,Melhor PreçoR$660,https://www.maiscelular.com.br//fichas-tecnicas/motorola/moto-e6-play/
Motorola Moto E6 Play Ficha Técnica,Melhor PreçoR$660,https://www.maiscelular.com.br//fichas-tecnicas/motorola/moto-e6-play/
Motorola Moto E6 Play Ficha Técnica,Melhor PreçoR$660,https://www.maiscelular.com.br//fichas-tecnicas/motorola/moto-e6-play/
Motorola Moto G8 Play Ficha Técnica,Melhor PreçoR$899,https://www.maiscelular.com.br//fichas-tecnicas/motorola/moto-g8-play/
Motorola Moto G8 Plus Ficha Técnica,Melhor PreçoR$1.399,https://www.maiscelular.com.br//fichas-tecnicas/motorola/moto-g8-plus/
Motorola Moto G8 Plus Ficha Técnica,Melhor PreçoR$1.399,https://www.maiscelular.com.br//fichas-tecnicas/motorola/moto-g8-plus/
Motorola One Macro Ficha Técnica,Melhor PreçoR$1.199,https://www.maiscelular.com.br//fichas-tecnicas/motorola/one-macro/
Motorola One Macro Ficha Técnica,Melhor PreçoR$1.199,https://www.maiscelular.com.br//fichas-tecnicas/motorola/one-macro/
Sony Xperia 5 Ficha Técnica,sem_preco,https://www.maiscelular.com.br//fichas-tecnicas/sony/xperia-5/
LG G8X ThinQ Ficha Técnica,sem_preco,https://www.maiscelular.com.br//fichas-tecnicas/lg/g8x-thinq/
LG G8X ThinQ Ficha Técnica,sem_preco,https://www.maiscelular.com.br//fichas-tecnicas/lg/g8x-thinq/
LG G8X ThinQ Ficha Técnica,sem_preco,https://www.maiscelular.com.br//fichas-tecnicas/lg/g8x-thinq/
LG G8X ThinQ Ficha Técnica,sem_preco,https://www.maiscelular.com.br//fichas-tecnicas/lg/g8x-thinq/
OnePlus 7T Ficha Técnica,sem_preco,https://www.maiscelular.com.br//fichas-tecnicas/oneplus/7t/
OnePlus 7T Ficha Técnica,sem_preco,https://www.maiscelular.com.br//fichas-tecnicas/oneplus/7t/
OnePlus 7T Pro Ficha Técnica,sem_preco,https://www.maiscelular.com.br//fichas-tecnicas/oneplus/7t-pro/
OnePlus 7T Pro Ficha Técnica,sem_preco,https://www.maiscelular.com.br//fichas-tecnicas/oneplus/7t-pro/
Positivo Twist SE (S545) Ficha Técnica,sem_preco,https://www.maiscelular.com.br//fichas-tecnicas/positivo/twist-se-s545/
Realme X2 Pro Ficha Técnica,sem_preco,https://www.maiscelular.com.br//fichas-tecnicas/realme/x2-pro/
Realme X2 Pro Ficha Técnica,sem_preco,https://www.maiscelular.com.br//fichas-tecnicas/realme/x2-pro/
Realme X2 Pro Ficha Técnica,sem_preco,https://www.maiscelular.com.br//fichas-tecnicas/realme/x2-pro/
Samsung Galaxy A20s Ficha Técnica,Melhor PreçoR$919,https://www.maiscelular.com.br//fichas-tecnicas/samsung/galaxy-a20s/
Samsung Galaxy A20s Ficha Técnica,Melhor PreçoR$919,https://www.maiscelular.com.br//fichas-tecnicas/samsung/galaxy-a20s/
Samsung Galaxy A20s Ficha Técnica,Melhor PreçoR$919,https://www.maiscelular.com.br//fichas-tecnicas/samsung/galaxy-a20s/
Samsung Galaxy A20s Ficha Técnica,Melhor PreçoR$919,https://www.maiscelular.com.br//fichas-tecnicas/samsung/galaxy-a20s/
Xiaomi Redmi 8 Ficha Técnica,Melhor PreçoR$1.279,https://www.maiscelular.com.br//fichas-tecnicas/xiaomi/redmi-8/
Xiaomi Redmi 8 Ficha Técnica,Melhor PreçoR$1.279,https://www.maiscelular.com.br//fichas-tecnicas/xiaomi/redmi-8/
Xiaomi Redmi Note 8 Ficha Técnica,Melhor PreçoR$1.439,https://www.maiscelular.com.br//fichas-tecnicas/xiaomi/redmi-note-8/
Xiaomi Redmi Note 8 Ficha Técnica,Melhor PreçoR$1.439,https://www.maiscelular.com.br//fichas-tecnicas/xiaomi/redmi-note-8/
Xiaomi Redmi Note 8 Ficha Técnica,Melhor PreçoR$1.439,https://www.maiscelular.com.br//fichas-tecnicas/xiaomi/redmi-note-8/
Xiaomi Redmi Note 8 Ficha Técnica,Melhor PreçoR$1.439,https://www.maiscelular.com.br//fichas-tecnicas/xiaomi/redmi-note-8/
