,modelo_celular,menor_preco,data_anuncio,tela,touchscreen,4g,3g,camera traseira,camera selfie,nfc,gravacao de video,dual chip,profundidade,formato,flash embutido,memoria interna,peso,tecnologia,android,ios,wind,brand,sem_recurso,auto rotacao,multitouch,resistente a respingos d'agua,force touch,curva,full hd,resistente a arranhoes,resistente a queda,3d,link_anuncio
358,"iphone 8 plus apple 128gb 5.5"" desbloqueado cinza espacial",3149,2019,5.5,1,1,1,12.0,7.0,1,4k. hd,0,0.75,barra,1,128.0,202.0,tec_not_informed,0.0,11.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-8-plus-apple-128gb-5-5-desbloqueado-cinza-espacial/p
359,"iphone 8 plus apple 128gb 5.5"" desbloqueado prata",3149,2019,5.5,1,1,1,12.0,7.0,1,4k. hd,0,0.75,barra,1,128.0,202.0,tec_not_informed,0.0,11.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-8-plus-apple-128gb-5-5-desbloqueado-prata/p
362,smartphone samsung galaxy s10+ sm-g975f desbloqueado gsm 128gb android 9.0 pie azul,3134,2019,6.4,1,1,1,12.0,10.0,1,4k,1,0.78,barra,1,128.0,175.0,gsm,9.0,0.0,0.0,samsung,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-s10-sm-g975f-desbloqueado-gsm-128gb-android-9-0-pie-azul/p
363,"iphone 7 plus apple 32gb desbloqueado 4g 5.5"" dourado",3101,2016,5.5,1,1,1,12.0,7.0,1,4k,0,0.73,barra,1,32.0,188.0,tec_not_informed,0.0,10.0,0.0,apple,0,1,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/iphone-7-plus-apple-32gb-desbloqueado-4g-5-5-dourado/p
364,smartphone samsung galaxy note 9 sm-n9600/1dl desbloqueado 128gb dual chip android 8.1 caneta s pen preto,3101,2018,6.4,1,1,1,12.0,8.0,1,rec_capacity_not_informed,1,0.88,barra,1,128.0,164.09353233830848,gsm,8.1,0.0,0.0,samsung,0,0,0,1,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-note-9-sm-n9600-1dl-desbloqueado-128gb-dual-chip-android-8-1-caneta-s-pen-preto/p
365,smartphone samsung galaxy a9 sm-a920f/ds desbloqueado 128gb dual chip android 8.0 azul,3099,2019,6.3,1,1,1,24.0,24.0,1,4k,1,0.78,barra,1,128.0,183.0,gsm,8.0,0.0,0.0,samsung,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-a9-sm-a920f-ds-desbloqueado-128gb-dual-chip-android-8-0-azul/p
368,smartphone samsung galaxy s8 plus sm-g955fzkjzto dual chip desbloqueado 64gb gsm preto,3059,2017,6.2,1,0,1,0.0,12.0,0,rec_capacity_not_informed,1,9.176614173228346,barra,0,64.0,154.9047619047619,gsm,7.0,0.0,0.0,samsung,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-s8-plus-sm-g955fzkjzto-dual-chip-desbloqueado-64gb-gsm-preto/p
369,"iphone 8 apple 128gb 4.7"" desbloqueado prata",3029,2019,4.7,1,1,1,12.0,7.0,1,4k. hd,0,0.73,barra,1,128.0,148.0,tec_not_informed,0.0,11.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-8-apple-128gb-4-7-desbloqueado-prata/p
370,smartphone asus zenfone 3 zoom ze553kl desbloqueado dual chip gsm 64gb android 6.0,3015,2017,5.5,1,1,1,13.0,12.0,0,4k,1,0.79,barra,1,64.0,170.0,gsm,6.0,0.0,0.0,asus,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-asus-zenfone-3-zoom-ze553kl-desbloqueado-dual-chip-gsm-64gb-android-6-0/p
371,smartphone asus zenfone zoom s ze553kl desbloqueado dual chip 64gb android 6.0,3015,2018,5.5,1,1,1,12.0,13.0,0,4k,1,0.79,barra,1,64.0,170.0,gsm,6.0,0.0,0.0,asus,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/smartphone-asus-zenfone-zoom-s-ze553kl-desbloqueado-dual-chip-64gb-android-6-0/p
374,"smartphone lenovo z6 lite 64gb 6.3"" desbloqueado preta",3010,2020,6.3,1,1,1,0.0,16.0,0,rec_capacity_not_informed,0,3.96212962962963,barra,0,64.0,161.71428571428572,tec_not_informed,0.0,0.0,0.0,other,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-lenovo-z6-lite-64gb-6-3-desbloqueado-preta/p
375,"iphone 7 apple 256gb desbloqueado 4g 4.7"" ouro rosa",2999,2016,4.7,1,1,1,12.0,7.0,1,4k,0,0.71,barra,1,256.0,138.0,tec_not_informed,0.0,10.0,0.0,apple,0,1,1,1,0,0,0,0,0,0,https://www.jacotei.com.br/iphone-7-apple-256gb-desbloqueado-4g-4-7-ouro-rosa/p
378,smartphone sony xperia xz1 g8341 desbloqueado gsm dual chip 64gb android 8.0 preto,2999,2017,5.2,1,1,1,19.0,13.0,1,rec_capacity_not_informed,1,0.74,barra,1,64.0,156.0,gsm,8.0,0.0,0.0,sony,0,0,0,1,0,0,1,0,0,0,https://www.jacotei.com.br/smartphone-sony-xperia-xz1-g8341-desbloqueado-gsm-dual-chip-64gb-android-8-0-preto/p
379,smartphone sony xperia xz1 g8341 desbloqueado gsm dual chip 64gb android 8.0 rose,2999,2017,5.2,1,1,1,19.0,13.0,1,rec_capacity_not_informed,1,0.74,barra,1,64.0,156.0,gsm,8.0,0.0,0.0,sony,0,0,0,1,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-sony-xperia-xz1-g8341-desbloqueado-gsm-dual-chip-64gb-android-8-0-rose/p
381,smartphone xiaomi mi 9t desbloqueado dual chip 128gb android 9 vermelho,2999,2019,6.4,1,1,1,48.0,20.0,0,rec_capacity_not_informed,1,0.88,barra,0,128.0,191.0,gsm,9.0,0.0,0.0,xiaomi,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-xiaomi-mi-9t-desbloqueado-dual-chip-128gb-android-9-vermelho/p
383,smartphone motorola moto g4 play dtv colors xt1603 tv dual chip android 6.0 preto,2999,2016,5.0,1,1,1,8.0,5.0,0,rec_capacity_not_informed,1,0.9,barra,0,16.0,137.0,gsm,6.0,0.0,0.0,motorola,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-motorola-moto-g4-play-dtv-colors-xt1603-tv-dual-chip-android-6-0-preto/p
387,celular xiaomi mi 8 lite 64gb 4gb,2999,2019,,1,1,1,0.0,0.0,0,rec_capacity_not_informed,0,3.422811501597444,barra,0,64.0,177.0,gsm,0.0,0.0,0.0,xiaomi,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/celular-xiaomi-mi-8-lite-64gb-4gb-novo-lacrado-preto/p
389,smartphone lg g8s thinq lm-g810eaw desbloqueado 128gb android 9.0 preto,2982,2019,6.21,1,1,1,12.0,8.0,1,rec_capacity_not_informed,0,0.79,barra,0,128.0,180.0,gsm,9.0,0.0,0.0,lg,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-lg-g8s-thinq-lm-g810eaw-desbloqueado-128gb-android-9-0-preto/p
390,smartphone lg g8s thinq lm-g810eaw desbloqueado 128gb dual chip android 9.0 branco,2982,2019,6.21,1,1,1,12.0,8.0,1,rec_capacity_not_informed,1,0.79,barra,0,128.0,180.0,gsm,9.0,0.0,0.0,lg,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-lg-g8s-thinq-lm-g810eaw-desbloqueado-128gb-dual-chip-android-9-0-branco/p
391,"iphone 8 apple 128gb 4.7"" desbloqueado dourado",2975,2019,4.7,1,1,1,12.0,7.0,1,4k. hd,0,0.73,barra,1,128.0,148.0,tec_not_informed,0.0,11.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-8-apple-128gb-4-7-desbloqueado-dourado/p
392,"iphone 8 plus apple 64gb 5.5"" desbloqueado cinza espacial",2969,2017,5.5,1,1,1,12.0,7.0,1,4k. hd,0,0.75,barra,1,64.0,202.0,tec_not_informed,0.0,11.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-8-plus-apple-64gb-5-5-desbloqueado-cinza-espacial/p
393,smartphone samsung galaxy s10+ sm-g975f desbloqueado gsm 128gb android 9.0 pie branco,2969,2019,6.4,1,1,1,12.0,10.0,1,4k,1,0.78,barra,1,128.0,175.0,gsm,9.0,0.0,0.0,samsung,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-s10-sm-g975f-desbloqueado-gsm-128gb-android-9-0-pie-branco/p
396,smartphone xiaomi redmi 6 desbloqueado gsm dual chip 64gb android 8.1 azul,2939,2018,5.45,1,1,1,12.0,5.0,0,rec_capacity_not_informed,1,0.83,barra,1,64.0,146.0,gsm,8.1,0.0,0.0,xiaomi,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-xiaomi-redmi-6-desbloqueado-gsm-dual-chip-64gb-android-8-1-azul/p
397,smartphone samsung galaxy a70 sm-a705mz desbloqueado dual chip 128gb android 9.0 azul,2915,2019,6.7,1,1,1,32.0,32.0,1,rec_capacity_not_informed,1,0.79,barra,1,128.0,171.99525423728812,gsm,9.0,0.0,0.0,samsung,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-a70-sm-a705mz-desbloqueado-dual-chip-128gb-android-9-0-azul/p
400,smartphone oneplus 6 desbloqueado gsm dual chip 64gb android 8.1 preto,2900,2018,6.28,1,1,1,20.0,16.0,1,4k,1,0.77,barra,1,64.0,177.0,gsm,8.1,0.0,0.0,other,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-oneplus-6-desbloqueado-gsm-dual-chip-64gb-android-8-1-preto/p
401,smartphone samsung galaxy s8+ sm-g955fd desbloqueado gsm dual chip 64gb android 7.0 ametista,2899,2017,6.2,1,1,1,12.0,8.0,1,4k,1,81.0,barra,1,64.0,173.0,gsm,7.0,0.0,0.0,samsung,0,0,0,1,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-s8-sm-g955fd-desbloqueado-gsm-dual-chip-64gb-android-7-0-ametista/p
402,smartphone xiaomi mi 9 se desbloqueado gsm 128gb android 9.0 pie preto,2899,2019,5.97,1,0,1,48.0,20.0,1,4k,0,0.74,barra,1,128.0,155.0,gsm,9.0,0.0,0.0,xiaomi,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-xiaomi-mi-9-se-desbloqueado-gsm-128gb-android-9-0-pie-preto/p
