,modelo_celular,menor_preco,data_anuncio,tela,touchscreen,4g,3g,camera traseira,camera selfie,nfc,gravacao de video,dual chip,profundidade,formato,flash embutido,memoria interna,peso,tecnologia,android,ios,wind,brand,sem_recurso,auto rotacao,multitouch,resistente a respingos d'agua,force touch,curva,full hd,resistente a arranhoes,resistente a queda,3d,link_anuncio,cluster
1159,smartphone samsung galaxy a10s desbloqueado dual chip 32gb android 9 azul + cartao de memoria 32gb,1099,2020,6.2,1,1,1,13.0,8.0,0,full hd,1,3.96212962962963,barra,1,32.0,161.71428571428572,tec_not_informed,9.0,0.0,0.0,samsung,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-a10s-desbloqueado-dual-chip-32gb-android-9-azul-cartao-de-memoria-32gb/p,102
1161,smartphone asus zenfone max shot zb634kl desbloqueado dual chip 64gb android 8.0 preto,1099,2019,6.2,1,1,1,12.0,8.0,0,rec_capacity_not_informed,1,0.84,barra,1,64.0,165.0,tec_not_informed,8.0,0.0,0.0,asus,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-asus-zenfone-max-shot-zb634kl-desbloqueado-dual-chip-64gb-android-8-0-preto/p,1
1162,smartphone lg g4 dual h818p desbloqueado gsm 4g android 5.0 32gb dourado,1099,2015,5.5,1,1,1,16.0,8.0,1,4k,1,0.98,barra,1,32.0,155.0,gsm,2.3,0.0,0.0,lg,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-lg-g4-dual-h818p-desbloqueado-gsm-4g-android-5-0-32gb-dourado/p,82
1163,smartphone asus zenfone max m3 desbloqueado dual chip 64gb android 9.0 preto,1099,2020,5.5,1,1,1,13.0,8.0,0,rec_capacity_not_informed,1,0.87,barra,0,64.0,161.71428571428572,tec_not_informed,9.0,0.0,0.0,asus,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-asus-zenfone-max-m3-desbloqueado-dual-chip-64gb-android-9-0-preto/p,154
1165,smartphone xiaomi redmi 5 plus desbloqueado gsm dual chip 64gb android 7.1 azul,1090,2018,5.99,1,0,1,12.0,5.0,0,full hd,1,0.8,barra,1,64.0,180.0,gsm,7.1,0.0,0.0,xiaomi,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-xiaomi-redmi-5-plus-desbloqueado-gsm-dual-chip-64gb-android-7-1-azul/p,167
1168,smartphone multilaser ms80 desbloqueado gsm 32gb android 7.1 preto,1089,2018,5.7,1,1,1,20.0,8.0,0,rec_capacity_not_informed,0,3.1163013698630135,barra,1,32.0,164.09353233830848,gsm,7.1,0.0,0.0,other,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-multilaser-ms80-desbloqueado-gsm-32gb-android-7-1-preto/p,86
1173,smartphone motorola moto g6 xt1925 desbloqueado dual chip 64gb android 8.0 preto,1079,2018,5.7,1,1,1,12.0,8.0,0,rec_capacity_not_informed,1,0.83,barra,1,64.0,162.0,tec_not_informed,8.0,0.0,0.0,motorola,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/smartphone-motorola-moto-g6-xt1925-desbloqueado-dual-chip-64gb-android-8-0-preto/p,97
1174,smartphone motorola moto e6 plus xt2025-1 desbloqueado 64gb dual chip android pie 9.0 azul netuno,1079,2019,6.1,1,1,1,13.0,8.0,1,hd,1,3.422811501597444,barra,0,64.0,171.99525423728812,tec_not_informed,9.0,0.0,0.0,motorola,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-motorola-moto-e6-plus-xt2025-1-desbloqueado-64gb-dual-chip-android-pie-9-0-azul-netuno/p,74
1176,smartphone multilaser ms80 nb724 desbloqueado gsm dual chip 64gb android 7.1 preto,1070,2018,5.7,1,1,1,16.0,20.0,0,rec_capacity_not_informed,1,3.1163013698630135,barra,1,64.0,164.09353233830848,gsm,7.1,0.0,0.0,other,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-multilaser-ms80-nb724-desbloqueado-gsm-dual-chip-64gb-android-7-1-preto/p,24
1177,smartphone lenovo vibe k6 plus desbloqueado gsm dual chip 32gb android 6.0 dourado,1057,2016,5.5,1,1,1,16.0,8.0,0,rec_capacity_not_informed,1,0.84,barra,1,32.0,169.0,gsm,6.0,0.0,0.0,other,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/smartphone-lenovo-vibe-k6-plus-desbloqueado-gsm-dual-chip-32gb-android-6-0-dourado/p,50
