,title,old_price,price,parcelas,image_link,product_link,produto_disponível
635,"Smartphone Positivo S512 Twist 2, Quad-Core, Dual Chip, 16GB, 5.3', 3G - Dourado",625.89,625.89,"Até 10xdeR$62,59  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h88/ha3/h00/h00/14749732241438.jpg,www.carrefour.com.br/Smartphone-Positivo-S512-Twist-2-Quad-Core-Dual-Chip-16GB-5-3-3G-Dourado/p/MV19334694,Yes
636,Novo - Smartphone Samsung Galaxy J2 Core Preto 16GB 5' Android 8.1 Oreo SM-J260M/DS,618.74,618.74,"Até 10xdeR$61,87  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h01/h2d/h00/h00/26607870345246.jpg,www.carrefour.com.br/Novo-Smartphone-Samsung-Galaxy-J2-Core-Preto-16GB-5-Android-8-1-Oreo-SM-J260M-DS/p/MV23864369,Yes
637,Smartphone Multilaser NB733 MS50X 4G QuadCore 1GB RAM Tela 5,613.0,613.0,"Até 10xdeR$61,30  sem juros",static.carrefour.com.br/medias/sys_master/images/images/hda/hf0/h00/h00/12861851369502.jpg,www.carrefour.com.br/Smartphone-Multilaser-NB733-MS50X-4G-QuadCore-1GB-RAM-Tela-5/p/MP13338190,Yes
638,Smartphone LG K8 Plus Azul 16GB 2GB de RAM Tela 5 Dual Chip Camera Traseira de 8MP,609.0,609.0,"Até 10xdeR$60,90  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h45/h3c/h00/h00/14853967577118.jpg,www.carrefour.com.br/Smartphone-LG-K8-Plus-Azul-16GB-2GB-de-RAM-Tela-5-Dual-Chip-Camera-Traseira-de-8MP/p/MP19535416,Yes
639,Smartphone LG K8 Plus Platinum 16GB 2GB de RAM Tela 5 Dual Chip Camera Traseira de 8MP,609.0,609.0,"Até 10xdeR$60,90  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h72/hda/h00/h00/14853971509278.jpg,www.carrefour.com.br/Smartphone-LG-K8-Plus-Platinum-16GB-2GB-de-RAM-Tela-5-Dual-Chip-Camera-Traseira-de-8MP/p/MP19537055,Yes
640,Smartphone Asus ZA550KL Zenfone Live L1 Azul 32 GB,604.9,604.9,"Até 10xdeR$60,49  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h3b/hbe/h00/h00/14605705707550.jpg,www.carrefour.com.br/Smartphone-Asus-ZA550KL-Zenfone-Live-L1-Azul-32-GB/p/MP19116019,Yes
641,Smartphone Lg K8+ 16gb Dual Chip Tela 5 Android 7.0 Platinum,603.8,603.8,"Até 10xdeR$60,38  sem juros",static.carrefour.com.br/medias/sys_master/images/images/hb3/hb4/h00/h00/26952242790430.jpg,www.carrefour.com.br/Smartphone-Lg-K8-16gb-Dual-Chip-Tela-5-Android-7-0-Platinum/p/MV24419332,Yes
642,Smartphone LG K8+ 16GB LM-X120BMW Preto,599.0,599.0,"Até 10xdeR$59,90  sem juros",static.carrefour.com.br/medias/sys_master/images/images/hae/h55/h00/h00/26972256698398.jpg,www.carrefour.com.br/Smartphone-LG-K8-16GB-LM-X120BMW-Preto/p/MP24442313,Yes
643,Smartphone Positivo S513 32GB Quad Core Android Oreo Preto,599.0,599.0,"Até 10xdeR$59,90  sem juros",static.carrefour.com.br/medias/sys_master/images/images/hc4/h04/h00/h00/26972263710750.jpg,www.carrefour.com.br/Smartphone-Positivo-S513-32GB-Quad-Core-Android-Oreo-Preto/p/MP24435900,Yes
644,"Smartphone TCL C5 Dual Chip, Preto, Tela 5.5, 3G+WIFi, Android Oreo, 13MP, Fingerprint, Desbloqueio Facial, 32GB",599.0,599.0,"Até 10xdeR$59,90  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h1e/h20/h00/h00/14357901180958.jpg,www.carrefour.com.br/Smartphone-TCL-C5-Dual-Chip-Preto-Tela-5-5-3G-WIFi-Android-Oreo-13MP-Fingerprint-Desbloqueio-Facial-32GB/p/MP18672501,Yes
645,Smartphone Multilaser Mini Tablet MS50G Tela 5.5 Armazenamento de 8GB + SD Card 32GB Android 8.1 PrataPreto,579.89,579.89,"Até 10xdeR$57,99  sem juros",static.carrefour.com.br/medias/sys_master/images/images/hfb/hfe/h00/h00/13514522492958.jpg,www.carrefour.com.br/Smartphone-Multilaser-Mini-Tablet-MS50G-Tela-5-5-Armazenamento-de-8GB-SD-Card-32GB-Android-8-1-PrataPreto/p/MV13441913,Yes
646,Smarthphone LG X120BMW K8 Plus 16GB Azul,579.0,579.0,"Até 10xdeR$57,90  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h06/had/h00/h00/26648906891294.jpg,www.carrefour.com.br/Smarthphone-LG-X120BMW-K8-Plus-16GB-Azul/p/MP23923505,Yes
647,Smartphone Multilaser F Pro 4G 16GB Android 9 Preto - P9118 - Padrão,569.05,569.05,"Até 10xdeR$56,90  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h5c/h39/h00/h00/26886511394846.jpg,www.carrefour.com.br/Smartphone-Multilaser-F-Pro-4G-16GB-Android-9-Preto-P9118-Padrao/p/MP24314452,Yes
