modelo_celular,maior_preco,menor_preco,data_anuncio,destino_do_link,link_anuncio,timestamp
"Smartphone Samsung Galaxy S20 SM-G980F Desbloqueado Dual Chip 128GB Android 10 Cloud Pink + Smart Tv Led 65"" Samsung Ru7100 Ultra Hd 4K","R$ 7.599,00","R$ 7.599,00", Abr/2020,jacotei.com.br,https://www.jacotei.com.br/smartphone-samsung-galaxy-s20-sm-g980f-desbloqueado-dual-chip-128gb-android-10-cloud-pink-smart-tv-led-65-samsung-ru7100-ultra-hd-4k/p,Thu May 21 23:18:32 2020
"iPhone XS Apple OLED 5.8"" Desbloqueado 256GB 4G Prata","R$ 8.099,00","R$ 7.569,00", Nov/2018,jacotei.com.br,https://www.jacotei.com.br/iphone-xs-apple-oled-5-8-desbloqueado-256gb-4g-prata/p,Thu May 21 23:18:32 2020
"IPhone 11 Pro Max Apple 256GB 6.5"" Desbloqueado Cinza Espacial","R$ 8.399,00","R$ 7.559,10", Set/2019,jacotei.com.br,https://www.jacotei.com.br/iphone-11-pro-max-apple-256gb-6-5-desbloqueado-cinza-espacial/p,Thu May 21 23:18:32 2020
"IPhone 11 Pro Max Apple 256GB 6.5"" Desbloqueado Dourado","R$ 8.362,98","R$ 7.559,10", Set/2019,jacotei.com.br,https://www.jacotei.com.br/iphone-11-pro-max-apple-256gb-6-5-desbloqueado-dourado/p,Thu May 21 23:18:32 2020
"IPhone 11 Pro Max Apple 256GB 6.5"" Desbloqueado Verde","R$ 11.688,00","R$ 7.559,10", Out/2019,jacotei.com.br,https://www.jacotei.com.br/iphone-11-pro-max-apple-256gb-6-5-desbloqueado-verde/p,Thu May 21 23:18:32 2020
"IPhone 11 Pro Max Apple 256GB 6.5"" Desbloqueado Prata","R$ 8.362,98","R$ 7.559,10", Out/2019,jacotei.com.br,https://www.jacotei.com.br/iphone-11-pro-max-apple-256gb-6-5-desbloqueado-prata/p,Thu May 21 23:18:32 2020
Xiaomi Mijia Youpin Hagibis Notebook Cooling Pad Ímã adsorção física estável Arrefecimento antiderrapante Pad,"R$ 7.539,01","R$ 7.539,01", Abr/2020,images-americanas.b2w.io,https://tracker2.ad5track.com/tracker/click?acc=2ccfe822dfd85d3b72357f4d5f089ff6&i=5981ec91eec3dfb1f886f1e2&o=5de525adf8e95eac3d8c47e2&redirect_url=https%3A%2F%2Fwww.americanas.com.br%2Fproduto%2F1350551937%3Ffranq%3DAFL-03-20361%26epar%3Db2wafiliados%26opn%3DAFLACOM%26hl%3Dlower,Thu May 21 23:18:32 2020
Smartphone Caterpillar Cat S61 Desbloqueado 64GB Dual Chip Android 8.0 Preto,"R$ 7.490,10","R$ 7.490,10", Out/2018,jacotei.com.br,https://www.jacotei.com.br/smartphone-caterpillar-cat-s61-desbloqueado-64gb-dual-chip-android-8-0-preto/p,Thu May 21 23:18:32 2020
"iPhone Apple 11 Pro 512GB Desbloqueado 5.8"" Cinza Espacial","R$ 8.599,00","R$ 7.439,07", Out/2019,jacotei.com.br,https://www.jacotei.com.br/iphone-apple-11-pro-512gb-desbloqueado-5-8-cinza-espacial/p,Thu May 21 23:18:32 2020
"Smartphone Lenovo Z6 Lite 64GB 6,3"" Desbloqueado Verde","R$ 7.344,90","R$ 7.344,90", Mai/2020,jacotei.com.br,https://www.jacotei.com.br/smartphone-lenovo-z6-lite-64gb-6-3-desbloqueado-verde/p,Thu May 21 23:18:32 2020
